Rank,Zip Code
1,48197
2,48180
3,48044
4,48228
5,48103
6,48823
7,48858
8,48187
9,49424
10,48439
11,48126
12,48185
13,48219
14,48066
15,48235
16,48843
17,49009
18,49201
19,49423
20,48307
21,48310
22,48038
23,48104
24,48183
25,48188
26,49442
27,48221
28,48224
29,48227
30,48111
31,48911
32,49684
33,48047
34,49221
35,49504
36,49508
37,48706
38,48170
39,48060
40,49507
41,49203
42,48198
43,48212
44,49426
45,49341
46,48154
47,49503
48,48105
49,48146
50,48239
51,49120
52,48430
53,48127
54,48035
55,48178
56,49441
57,48910
58,48312
59,48601
60,48073
61,49506
62,48234
63,49546
64,48205
65,48186
66,49548
67,48313
68,49686
69,48642
70,49855
71,48322
72,49505
73,48021
74,48640
75,48917
76,48423
77,48174
78,48209
79,49417
80,48042
81,48089
82,49022
83,48152
84,48446
85,48507
86,48309
87,48602
88,48071
89,48210
90,49525
91,48091
92,48237
93,49444
94,48236
95,49024
96,49464
97,48195
98,48506
99,49519
100,49006
101,48317
102,49418
103,48124
104,49509
105,48316
106,48315
107,48162
108,49015
109,49428
110,48306
111,48116
112,48101
113,48867
114,48092
115,48504
116,48108
117,48135
118,48603
119,48328
120,48503
121,48085
122,48906
123,48161
124,48150
125,48336
126,48708
127,48223
128,48371
129,49048
130,48340
131,48192
132,48238
133,48433
134,48045
135,48076
136,49401
137,48093
138,48348
139,48067
140,48141
141,48329
142,49085
143,48204
144,48390
145,48346
146,49036
147,48176
148,48382
149,48864
150,49316
151,49315
152,48203
153,48335
154,48168
155,48080
156,48083
157,48220
158,48182
159,48167
160,48326
161,48088
162,48213
163,48375
164,48473
165,48842
166,49534
167,48134
167,48327
168,48169
169,49601
170,49707
171,48075
172,49445
173,49001
174,48214
175,49014
176,48420
177,48331
178,48036
179,49017
180,48442
181,48009
182,48114
183,48813
184,48207
185,49002
186,48081
187,49037
188,49307
189,48314
190,48846
191,48505
192,49301
193,48532
194,48125
195,48094
196,49735
197,48854
198,49091
199,48837
200,49456
201,49202
202,49783
203,48098
204,49058
205,48334
206,48051
207,48458
208,48838
209,49093
210,48386
211,48820
212,49512
213,49331
214,48341
215,49010
216,48879
217,48324
218,48912
219,48184
220,49431
221,49321
222,48323
223,48393
224,49770
225,49008
226,48240
227,49829
228,48033
229,48377
230,49319
231,48342
232,48374
233,48030
234,49004
235,48230
236,48043
237,48304
238,48082
239,49080
240,48827
241,48206
242,48302
243,48201
244,48624
245,48362
246,48202
247,48130
248,48193
249,48084
250,48855
251,48072
252,49345
253,48451
254,48059
255,49068
256,48025
257,49047
258,49242
259,48301
260,49286
261,48026
262,49090
263,49660
264,48225
265,49721
266,48836
267,49224
268,48462
269,48034
270,48189
271,48623
272,48160
273,48381
274,49079
275,48625
276,48383
277,48825
278,48118
279,48360
280,48801
281,48840
282,49348
283,48173
284,48609
285,49849
286,48604
287,48079
288,48723
289,49337
290,48017
291,48001
292,48166
293,48638
294,48215
295,49858
296,49333
297,48895
298,49412
299,49801
300,48732
301,49097
302,48065
303,49127
304,48915
305,48809
306,49306
307,48128
308,48661
309,49103
310,48875
311,49107
312,48122
313,49544
314,49230
315,49323
316,49071
317,48138
318,49457
319,49007
320,48653
321,48117
322,48880
323,49112
324,49738
325,48359
326,48444
327,49408
328,48768
329,48040
330,49240
331,48062
332,49931
333,48144
334,49078
335,48229
336,48529
337,48509
338,49837
339,49038
340,48617
341,49461
342,48074
343,48415
344,48208
345,48429
346,49460
347,48612
348,49720
349,48356
350,49302
351,48164
352,49329
353,48750
354,49419
355,49404
356,49327
357,48357
358,48015
359,49646
360,48461
361,49866
362,48457
363,49712
364,48048
365,48455
366,48746
367,49083
368,49046
369,49349
369,48657
370,49651
371,49031
372,49053
373,48734
374,48158
375,48039
376,48629
377,48165
378,48218
379,49938
380,48848
381,48380
382,48120
383,48616
384,49727
385,49841
386,49930
387,48350
388,48413
389,48054
390,49677
391,48226
392,49649
393,48131
394,48363
395,49740
396,49690
397,48650
398,48519
399,49643
400,49415
401,49437
402,48883
403,49659
404,48438
405,48872
406,48353
407,48217
408,48611
409,48422
410,49913
411,49057
412,49087
413,49021
414,49055
415,49250
415,48070
416,49420
417,49065
418,49251
419,49854
420,48421
421,48211
422,49631
423,49663
424,49269
425,49028
426,48888
427,48817
428,48003
429,49451
430,48849
431,49788
432,49802
433,49082
434,48808
435,49421
436,49935
437,48821
438,48626
439,48622
440,48726
441,48847
442,49099
443,49098
444,48095
445,49285
446,49330
447,49270
448,49247
449,48655
450,48881
451,49343
452,48005
453,48109
454,48049
455,48811
456,48471
457,49346
458,49045
459,48216
460,48632
461,49228
462,49013
463,49868
464,48428
465,48097
466,48137
467,48893
468,48133
469,48416
470,49862
471,48453
472,49265
473,48023
474,48618
475,48412
476,49106
477,48763
478,48866
479,48320
480,48658
481,49455
482,49236
483,49454
484,49073
485,48892
486,49245
487,48651
488,49042
489,48367
490,49076
491,48850
492,48756
493,48730
494,48041
495,48450
496,49779
497,48463
498,48884
499,48191
500,49067
501,48647
502,49326
503,49706
504,48634
505,49328
506,48631
507,48876
508,49336
509,49665
510,49920
511,48014
512,48744
513,49448
514,49682
515,48006
516,48441
517,48064
518,49094
519,48063
520,48096
521,48739
522,49267
523,49749
524,49435
525,48418
526,49615
527,49304
528,49621
529,48656
530,49946
531,49425
532,49064
533,49088
534,49283
535,48436
536,49765
537,49117
538,49256
539,48757
540,49633
541,49657
542,48179
542,49676
543,49249
544,49111
545,49756
546,49781
547,49807
548,49709
549,49655
550,49715
551,48831
552,49635
553,49096
554,49637
555,49128
556,49668
556,49229
557,49056
558,49908
559,49274
560,48829
561,48145
562,49012
563,49878
564,49266
565,49746
566,49450
567,49870
568,49650
569,49277
570,49032
570,49310
571,49344
572,49040
573,48140
573,49332
574,48002
575,48759
576,48857
577,48027
578,48637
579,49246
580,48835
581,49254
582,48722
583,49237
583,49617
584,49916
585,49284
586,48755
587,49072
588,49614
589,48703
590,48822
591,49101
592,48449
593,48891
594,49051
595,49340
596,49241
597,49253
598,48610
599,48659
600,48427
601,49403
602,49911
603,48819
604,48615
605,49232
606,48417
607,49449
608,49234
609,48933
610,49255
611,48159
612,48414
613,48022
614,49887
615,49034
616,49945
617,49620
618,48475
619,49688
620,49622
621,49446
622,48877
623,49070
624,48069
625,48740
626,48815
627,49030
628,49220
629,49453
630,48818
631,49233
632,49252
633,49026
634,48460
635,49953
636,49272
637,49766
638,48419
639,48628
640,48834
641,49011
642,49639
643,49125
644,49799
644,49648
645,49730
646,49095
647,48654
648,49616
649,48851
650,49339
651,48865
652,48464
653,49644
654,49683
655,49305
656,48467
657,49259
658,49043
659,49452
660,49264
661,49713
662,48871
663,49235
664,49733
665,49753
666,48725
667,48767
668,48890
669,49325
670,49629
671,49751
672,49287
673,49905
674,49755
675,49653
676,49670
677,48886
678,49747
679,49968
680,48435
681,48894
682,49795
683,49680
684,49410
685,48741
686,49092
687,49060
688,48370
689,49780
690,49892
691,48032
692,49271
693,49885
694,49089
695,49664
696,48897
697,49342
698,49238
699,48770
700,49113
701,49774
702,48860
703,49338
704,49776
705,49777
706,48472
707,49033
708,49896
709,49769
710,49656
711,48748
712,48662
713,48652
714,49102
715,48742
716,49640
717,49645
718,49061
719,49029
720,48733
721,49436
722,49405
723,49729
724,49050
725,48607
726,48731
727,49322
728,48806
729,49759
730,49459
730,49318
731,48635
732,49309
733,49288
734,48873
735,48729
736,49630
736,49130
737,48466
738,48832
739,48401
740,49411
741,49689
742,48614
743,48701
744,48760
745,48050
746,49893
747,48878
748,48861
749,49814
750,49947
751,49612
752,48889
753,49679
754,48747
755,49402
756,48745
757,49969
758,48649
759,48766
760,48445
761,49262
762,49623
762,48737
763,49126
764,48157
764,49821
765,48469
766,49950
767,49876
768,49347
769,48454
770,49719
771,49268
772,48502
773,48621
774,49853
775,49724
776,48727
777,49227
778,49625
779,48749
780,48762
781,48468
782,48738
783,49757
784,49847
785,49726
785,49632
786,48735
787,54554
788,48720
789,49619
790,49827
791,49303
792,49880
793,49716
794,49874
795,48426
796,49818
797,49963
798,48028
799,49675
800,48613
801,49701
802,49879
803,49745
804,48885
805,48754
806,49912
807,49835
808,54540
809,49752
810,48845
811,49705
812,49934
813,49812
814,49052
815,49836
816,48807
817,49276
818,49638
819,49279
820,48761
821,49831
822,49248
823,48856
824,49440
825,48437
826,48636
827,48456
828,49618
829,49642
830,49743
831,49894
832,49816
833,48470
834,49744
834,49958
835,48841
836,48765
837,49406
838,48465
839,49965
840,49725
841,49613
842,49891
843,49104
844,49922
844,49895
845,49760
846,49718
847,49762
848,49840
849,48432
850,49948
851,49782
852,49817
853,49871
854,49886
855,48619
856,49066
857,48724
858,48853
859,49861
860,49667
861,49129
862,48705
863,49925
864,49806
865,49971
866,49736
866,49927
867,48721
868,48476
869,49967
869,49115
870,49838
871,49768
872,49636
873,49654
874,49839
875,49921
875,49955
876,49710
877,49791
878,49942
879,49884
880,49626
881,49764
882,49805
883,49959
884,49915
885,49722
885,48896
886,49881
887,49820
888,49312
889,49970
890,49611
891,49796
892,49815
893,49728
894,49826
895,49261
896,49116
897,48728
897,49910
898,49666
899,49282
900,49962
901,49929
902,48177
903,48190
904,49335
905,49808
906,49834
907,49627
908,49027
908,49901
909,49825
910,49917
911,48870
912,48852
913,48874
914,49793
915,49919
916,49822
916,49833
917,49902
918,49748
919,49872
920,49628
921,49074
921,49960
922,49863
923,49075
924,48139
925,48627
926,49289
927,48411
928,49883
929,49717
929,49952
930,49961
931,48633
932,49852
933,49918
934,49873
935,48743
936,48434
936,48440
937,49458
938,49903
939,49864
940,49775
941,49848
942,49119
943,49263
944,49634
945,49674
946,48630
947,49084
948,48816
949,49819
950,49320
951,49877
952,49434
