2018_5y_Pop,County.Name,MERC.Region.Number,MERC.Region.Name,PH_Region,2019_5y_Pop
10364,Alcona,4,Saginaw,Region 3,10404.988
9194,Alger,8,Upper Peninsula,Region 8,9108.009
115250,Allegan,3,Kalamazoo,Region 5,118080.999
28612,Alpena,6,Traverse City,Region 7,28405.009
23177,Antrim,6,Traverse City,Region 7,23323.994
15165,Arenac,4,Saginaw,Region 3,14883.02
8507,Baraga,8,Upper Peninsula,Region 8,8208.998
60057,Barry,3,Kalamazoo,Region 5,61549.999
104786,Bay,4,Saginaw,Region 3,103126.007
17552,Benzie,6,Traverse City,Region 7,17766.003
154807,Berrien,3,Kalamazoo,Region 5,153400.996
43584,Branch,3,Kalamazoo,Region 5,43516.995
134473,Calhoun,3,Kalamazoo,Region 5,134159.009
51460,Cass,3,Kalamazoo,Region 5,51786.993
26219,Charlevoix,6,Traverse City,Region 7,26143.006
25458,Cheboygan,6,Traverse City,Region 7,25276.001
37834,Chippewa,8,Upper Peninsula,Region 8,37348.981
30616,Clare,2,Grand Rapids,Region 6,30949.999
77896,Clinton,5,Lansing,Region 1,79594.994
13836,Crawford,6,Traverse City,Region 7,14028.999
36190,Delta,8,Upper Peninsula,Region 8,35784.004
25570,Dickinson,8,Upper Peninsula,Region 8,25239.007
109155,Eaton,5,Lansing,Region 1,110268.018
33039,Emmet,6,Traverse City,Region 7,33414.999
409361,Genesee,1,Detroit,Region 3,405812.995
25289,Gladwin,4,Saginaw,Region 3,25449.008
15414,Gogebic,8,Upper Peninsula,Region 8,13975.002
91746,Grand Traverse,6,Traverse City,Region 7,93088.003
41067,Gratiot,5,Lansing,Region 1,40710.999
45830,Hillsdale,7,Jackson,Region 1,45605.003
36360,Houghton,8,Upper Peninsula,Region 8,35684.006
31543,Huron,4,Saginaw,Region 3,30981.006
289564,Ingham,5,Lansing,Region 1,292405.981
64176,Ionia,2,Grand Rapids,Region 6,64696.999
25247,Iosco,4,Saginaw,Region 3,25127.002
11212,Iron,8,Upper Peninsula,Region 8,11066
70775,Isabella,2,Grand Rapids,Region 6,69871.998
158913,Jackson,7,Jackson,Region 1,158510.006
261573,Kalamazoo,3,Kalamazoo,Region 5,265066.008
17463,Kalkaska,6,Traverse City,Region 7,18038.005
643140,Kent,2,Grand Rapids,Region 6,656954.997
2130,Keweenaw,8,Upper Peninsula,Region 8,2114.999
11763,Lake,2,Grand Rapids,Region 6,11853.018
88202,Lapeer,1,Detroit,Region 3,87606.998
21639,Leelanau,6,Traverse City,Region 7,21761
98474,Lenawee,7,Jackson,Region 1,98450.995
188482,Livingston,1,Detroit,Region 1,191994.989
6364,Luce,8,Upper Peninsula,Region 8,6228.991
10817,Mackinac,8,Upper Peninsula,Region 8,10799.001
868704,Macomb,1,Detroit,Region 2N,873972.002
24444,Manistee,6,Traverse City,Region 7,24558.001
66939,Marquette,8,Upper Peninsula,Region 8,66698.999
28884,Mason,2,Grand Rapids,Region 6,29144.001
43264,Mecosta,2,Grand Rapids,Region 6,43452.996
23234,Menominee,8,Upper Peninsula,Region 8,22780.001
83389,Midland,4,Saginaw,Region 3,83155.986
15006,Missaukee,6,Traverse City,Region 7,15117.993
149699,Monroe,1,Detroit,Region 2S,150499.997
63209,Montcalm,2,Grand Rapids,Region 6,63888.005
9261,Montmorency,6,Traverse City,Region 7,9327.997
173043,Muskegon,2,Grand Rapids,Region 6,173566.001
48142,Newaygo,2,Grand Rapids,Region 6,48980.008
1250843,Oakland,1,Detroit,Region 2N,1257584.01
26417,Oceana,2,Grand Rapids,Region 6,26467.003
20928,Ogemaw,4,Saginaw,Region 3,20997.005
5968,Ontonagon,8,Upper Peninsula,Region 8,5719.999
23232,Osceola,2,Grand Rapids,Region 6,23460.01
8277,Oscoda,4,Saginaw,Region 3,8241.003
24397,Otsego,6,Traverse City,Region 7,24668.004
284034,Ottawa,2,Grand Rapids,Region 6,291829.984
12797,Presque Isle,6,Traverse City,Region 7,12592.009
23877,Roscommon,6,Traverse City,Region 7,24018.993
192778,Saginaw,4,Saginaw,Region 3,190539.008
159566,St. Clair,1,Detroit,Region 2N,159128.012
60897,St. Joseph,3,Kalamazoo,Region 5,60964.004
41376,Sanilac,4,Saginaw,Region 3,41170.003
8069,Schoolcraft,8,Upper Peninsula,Region 8,8094.002
68493,Shiawassee,5,Lansing,Region 1,68122.007
53250,Tuscola,4,Saginaw,Region 3,52244.992
75272,Van Buren,3,Kalamazoo,Region 5,75677.005
365961,Washtenaw,1,Detroit,Region 2S,367600.999
1088720,Wayne,1,Detroit,Region 2S,1079290.974
33111,Wexford,6,Traverse City,Region 7,33630.996
672662,Detroit City,1,Detroit,Region 2S,670052.005
